Famous	Unfamiliar	Scrambled
-0.002284161	-0.008696686	-0.002617052
0.003463656	-0.008467773	-0.002722875
0.009252348	-0.008241263	-0.002827201
0.01353309	-0.008006377	-0.002934685
0.01051151	-0.000759327	-0.003044079
0.003705472	0.01298514	-0.003152179
-0.001378145	0.01739515	-0.00325693
-0.003999442	0.01492274	-0.003357427
-0.00500174	0.01272536	-0.003453401
-0.005118869	0.01078732	-0.003544898
-0.004855505	0.009251204	-0.003632087
-0.004537293	0.009453348	-0.00371515
-0.004318851	0.009255828	-0.003794233
-0.004228767	0.008913407	-0.003207281
-0.004237169	0.003021959	0.003643941
-0.004304371	-0.003134293	0.01300436
-0.004399093	-0.006473454	0.02269304
-0.004505774	-0.007554368	0.01676645
-0.004618077	-0.007429187	0.00574501
-0.00473293	-0.006783202	-0.001796589
-0.004847602	-0.006027344	-0.005504543
-0.004961498	-0.005376572	-0.006813588
-0.005073819	-0.004897937	-0.006798862
-0.005184337	-0.004567429	-0.006217711
-0.005292895	-0.004335939	-0.005570434
-0.005399373	-0.004161668	-0.005088024
-0.004918281	-0.00401657	-0.004804966
0.007484999	-0.003887806	-0.004669246
0.0153168	-0.003768062	-0.002917059
0.008901057	-0.003612763	0.004388664
0.0005726092	0.001273769	0.005240002
-0.003841261	0.006988707	0.001095394
0.0006561878	0.004946503	-0.002527115
0.005745424	0.0007488732	-0.004528923
0.008693402	-0.002047664	-0.004975281
0.004130695	-0.003401868	0.001401165
-0.002059699	-0.003859268	0.008009044
-0.005694492	-0.003799186	0.01171585
-0.001190467	-0.003504858	0.007195738
0.002139716	-0.003176483	0.002441984
-0.0009265612	-0.002910695	0.005418723
-0.0046402	-0.002724472	0.01261068
-0.005834227	-0.002599126	0.01986384
0.0003711731	-0.002510997	0.01288164
0.005654112	-0.002443128	0.002723276
0.008551053	-0.002011948	-0.003680324
0.00389945	0.004502265	-0.006586485
-0.0007079151	0.00819831	-0.007416228
0.002582365	0.004937422	-0.007147749
0.01016375	0.0009030991	-0.006455867
0.01753893	-0.001535855	-0.005190411
0.01053987	-0.002673834	0.002125521
0.006968028	-0.003023391	0.005426079
0.01421703	-0.002931548	0.002020709
0.01567246	-0.002663389	-0.001886551
0.01002567	-0.002393636	-0.001712583
0.0006481417	-0.002195172	0.004306216
-0.006112297	-0.00207208	0.00383876
-0.00930468	-0.002002353	-0.0003420518
-0.01019938	-0.001964049	-0.003493637
-0.009918008	-0.00194245	-0.005064329
-0.009190144	-0.001928663	-0.005656318
-0.008453258	-0.001918628	-0.005699888
-0.007899289	-0.001910664	-0.005478498
-0.007551292	-0.00190478	-0.005198803
-0.007356112	-0.001900356	-0.004973501
-0.007131109	-0.001897361	-0.0048314
-0.001550217	-0.001895735	-0.004756969
0.003367044	-0.001895629	-0.003551263
0.0007375243	-0.001897762	0.003714562
-0.003455719	-0.001901873	0.009416875
-0.005449662	-0.001907613	0.01170611
0.006045797	-0.001914803	0.006391585
0.01561859	-0.001922998	-7.380048e-05
0.01675354	-0.001932189	-0.004098421
0.02091529	-0.001942342	-0.005923151
0.02029817	-0.0002510828	-0.006422551
0.008676401	0.00703605	-0.006238855
